,Domain Code,Domain,M49,Area,Element Code,Element,Item Code (FAO),Item,Year,Unit,Value,Flag,Flag Description
75,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2013,hg/ha,47176,Fc,Calculated data
76,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2014,hg/ha,47283,Fc,Calculated data
77,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2015,hg/ha,47843,Fc,Calculated data
78,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,249,Coconuts,1990,hg/ha,14815,Fc,Calculated data
79,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,249,Coconuts,1991,hg/ha,15867,Fc,Calculated data
80,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,249,Coconuts,1992,hg/ha,15541,Fc,Calculated data
81,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,249,Coconuts,1993,hg/ha,15000,Fc,Calculated data
82,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,249,Coconuts,1994,hg/ha,14706,Fc,Calculated data
83,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,249,Coconuts,1995,hg/ha,16322,Fc,Calculated data
84,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,249,Coconuts,1996,hg/ha,18111,Fc,Calculated data
85,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,249,Coconuts,1997,hg/ha,16804,Fc,Calculated data
86,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,249,Coconuts,1998,hg/ha,17158,Fc,Calculated data
87,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,249,Coconuts,1999,hg/ha,16804,Fc,Calculated data
88,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,249,Coconuts,2000,hg/ha,16900,Fc,Calculated data
