lat,lon,country
-89.53125,187.734375,Antarctica
-89.53125,189.140625,Antarctica
-89.53125,190.546875,Antarctica
-89.53125,191.953125,Antarctica
-89.53125,193.359375,Antarctica
-89.53125,194.765625,Antarctica
-89.53125,196.171875,Antarctica
-89.53125,197.578125,Antarctica
-89.53125,198.984375,Antarctica
-89.53125,200.390625,Antarctica
-89.53125,201.796875,Antarctica
-89.53125,203.203125,Antarctica
-89.53125,204.609375,Antarctica
-89.53125,206.015625,Antarctica
-89.53125,207.421875,Antarctica
-89.53125,208.828125,Antarctica
-89.53125,210.234375,Antarctica
-89.53125,211.640625,Antarctica
-89.53125,213.046875,Antarctica
-89.53125,214.453125,Antarctica
-89.53125,215.859375,Antarctica
-89.53125,217.265625,Antarctica
-89.53125,218.671875,Antarctica
-89.53125,220.078125,Antarctica
-89.53125,221.484375,Antarctica
-89.53125,222.890625,Antarctica
-89.53125,224.296875,Antarctica
-89.53125,225.703125,Antarctica
-89.53125,227.109375,Antarctica
-89.53125,228.515625,Antarctica
-89.53125,229.921875,Antarctica
-89.53125,231.328125,Antarctica
-89.53125,232.734375,Antarctica
-89.53125,234.140625,Antarctica
-89.53125,235.546875,Antarctica
-89.53125,236.953125,Antarctica
-89.53125,238.359375,Antarctica
-89.53125,239.765625,Antarctica
-89.53125,241.171875,Antarctica
-89.53125,242.578125,Antarctica
-89.53125,243.984375,Antarctica
-89.53125,245.390625,Antarctica
-89.53125,246.796875,Antarctica
-89.53125,248.203125,Antarctica
-89.53125,249.609375,Antarctica
-89.53125,251.015625,Antarctica
-89.53125,252.421875,Antarctica
-89.53125,253.828125,Antarctica
-89.53125,255.234375,Antarctica
-89.53125,256.640625,Antarctica
-89.53125,258.046875,Antarctica
-89.53125,259.453125,Antarctica
-89.53125,260.859375,Antarctica
-89.53125,262.265625,Antarctica
-89.53125,263.671875,Antarctica
-89.53125,265.078125,Antarctica
-89.53125,266.484375,Antarctica
-89.53125,267.890625,Antarctica
-89.53125,269.296875,Antarctica
-89.53125,270.703125,Antarctica
-89.53125,272.109375,Antarctica
-89.53125,273.515625,Antarctica
-89.53125,274.921875,Antarctica
