,name,region,country-code,region-code,gfsi,surfacetempanomaly,precipitationflux,gdp,population,migration,tempstep,gfsi_hat
91,Sweden,Europe,752,150.0,0.9014171287738755,0.1525206062859254,0.16086546613962124,0.5132781250660116,0.005841216208497334,0.0168633637013877,-0.06,1.0040163668131565
92,Switzerland,Europe,756,150.0,0.9100431300061613,0.37145924206333736,0.33486655814875227,0.8379610849962297,0.004638999408591767,0.0380043682396191,-0.06,1.1559255776931645
93,Syrian Arab Republic,Asia,760,142.0,0.1965495995070856,0.6264367228512184,0.24965548630191362,0.0105576236485198,0.010740654957673833,0.45012351204433393,-0.06,0.5397242614404456
94,Tajikistan,Asia,762,142.0,0.3955637707948243,0.3668384985943052,0.13003385981202342,0.0062269920533716,0.005167392280426734,0.03165199474388853,-0.06,0.5761159588777296
95,Thailand,Asia,764,142.0,0.6025878003696857,0.9054373684187769,0.35689935839408465,0.07016952381605246,0.04796574778645574,0.05784180365647044,-0.06,0.43790942884411743
96,Togo,Africa,768,2.0,0.26432532347504617,0.932552646899041,0.6847726435761071,0.006574088447018567,0.004289793249132933,0.02878951398375673,-0.06,0.3659615484263833
97,United Arab Emirates,Asia,784,142.0,0.7288971041281576,0.7269395594577799,0.026781453041562802,0.3964889380179524,0.005482623935307833,0.0098984072207397,-0.06,0.7304422639355413
98,Tunisia,Africa,788,2.0,0.5600739371534196,0.6029772588740323,0.33997036105025574,0.03276192395170637,0.006851704269535134,0.047911422592127696,-0.06,0.5100744449389198
99,Turkey,Asia,792,142.0,0.5878003696857671,0.5651146494841943,0.3172142786257488,0.0857885608095476,0.05772632917422663,0.1861428462092113,-0.06,0.5822699239688006
100,Uganda,Africa,800,2.0,0.21195317313616754,0.8865352439539276,0.07858036486381506,0.005539820776274267,0.029957622190985234,0.0426283425786673,-0.06,0.40455051576210244
101,Ukraine,Europe,804,150.0,0.4621072088724583,0.4254539254974684,0.3236418059670793,0.03180695957234974,0.030053157223095203,0.33893329430731484,-0.06,0.6080792486476888
102,Egypt,Africa,818,2.0,0.5224892174984596,0.7438402263521251,0.19014347751411642,0.027400185160266998,0.06980139627115234,0.1959338646444854,-0.06,0.4868339680732744
103,United Kingdom of Great Britain and Northern Ireland,Europe,826,150.0,0.9069624152803449,0.2918405340054149,0.2232370403474063,0.4125616682923831,0.04599207817915949,0.25999166737730023,-0.06,0.9169934938569669
104,"Tanzania, United Republic of",Africa,834,2.0,0.2637091805298829,0.918382763202072,0.3321543167539534,0.0081821321875073,0.03973210293874423,0.016782924831996233,-0.06,0.3848143455276799
105,United States of America,Americas,840,19.0,0.8964879852125693,0.29810401635245665,0.11731445876317,0.6195821744460676,0.2319913100713026,0.16354622870569094,-0.06,1.0671497228630442
106,Burkina Faso,Africa,854,2.0,0.3148490449784349,0.9156487377569109,0.43234297418498935,0.005758399012999933,0.012978889139447834,0.0874959561118655,-0.06,0.38741788673101496
