name,region,country-code,region-code,gfsi,surfacetempanomaly,precipitationflux,gdp,population,migration
El Salvador,Americas,222.0,19.0,58.5,28.882413333333336,6.237615433333333e-05,4006.3307449820873,6453497.0,1581825.0
Ethiopia,Africa,231.0,2.0,39.833333333333336,27.973940000000027,8.1371182e-05,854.5420708670276,112088906.66666667,925402.0
Finland,Europe,246.0,150.0,84.53333333333335,-2.760569999999973,2.6283095000000002e-05,49124.30253819336,5522224.666666667,305955.3333333333
France,Europe,250.0,150.0,78.83333333333333,8.547480000000027,4.541251933333333e-05,40402.8542707976,67243588.0,2297379.3333333335
Germany,Europe,276.0,150.0,79.56666666666666,7.600290000000011,4.038755233333333e-05,47007.06540651974,83053205.0,3810270.0
Ghana,Africa,288.0,2.0,53.06666666666666,29.440896666666674,9.898745333333332e-05,2237.6717204386964,30419303.666666668,981909.3333333334
Greece,Europe,300.0,150.0,74.73333333333333,15.202930000000018,5.2892394333333335e-05,18845.9936360516,10718340.0,1034829.0
Guatemala,Americas,320.0,19.0,56.166666666666664,28.629433333333377,3.984011833333333e-05,4573.466401804767,16603103.0,1318367.3333333333
Guinea,Africa,324.0,2.0,41.266666666666666,29.140943333333382,7.468434666666666e-05,1069.0975046682404,12772776.666666666,539314.0
Haiti,Americas,332.0,19.0,36.733333333333334,27.151680000000017,5.951360866666666e-05,1354.82815166577,11262931.666666666,1709145.0
Honduras,Americas,340.0,19.0,59.333333333333336,28.604756666666674,7.788971166666666e-05,2479.4460963823167,9746082.0,934032.3333333334
Hungary,Europe,348.0,150.0,71.3,9.426733333333365,4.7790513333333335e-05,16381.046922169035,9765618.0,691713.0
India,Asia,356.0,142.0,59.43333333333334,23.917946666666676,3.9759485000000003e-05,2008.458123699763,1366354808.0,17472725.0
Indonesia,Asia,360.0,142.0,61.4,28.530460000000023,7.501025e-05,3966.216512173693,270606579.0,4494114.0
Ireland,Europe,372.0,150.0,84.66666666666667,5.838983333333355,3.1486803666666666e-05,81805.58786679123,4929110.0,734781.0
Israel,Asia,376.0,142.0,78.3,19.78648,3.5755790333333337e-05,43397.424027631096,9050633.333333334,353218.0
Italy,Europe,380.0,150.0,76.23333333333333,11.792556666666693,5.365300733333334e-05,33344.58976210653,59866789.333333336,3139597.0
Côte d'Ivoire,Africa,384.0,2.0,50.13333333333333,29.531720000000025,0.00010132852333333334,2305.3690190976936,25721351.666666668,1130714.0
Japan,Asia,392.0,142.0,79.96666666666665,19.949406666666714,4.438587900000001e-05,40259.67656758873,126210017.33333333,799941.3333333334
Kazakhstan,Asia,398.0,142.0,68.96666666666667,7.424673333333374,2.7480060666666665e-05,9582.485203087866,18514855.0,4140234.0
Jordan,Asia,400.0,142.0,64.16666666666667,19.74296000000002,3.159882933333333e-05,4332.13466926994,10090053.0,793293.3333333334
Kenya,Africa,404.0,2.0,46.86666666666667,27.421423333333355,1.4111942833333334e-05,1861.7732482545732,52579279.0,524407.3333333334
"Korea, Republic of",Asia,410.0,142.0,72.93333333333334,20.388613333333357,5.5986893666666665e-05,32312.281539499203,51728706.333333336,2194149.3333333335
Kuwait,Asia,414.0,142.0,71.3,20.017330000000033,1.5378721666666666e-05,30194.693756219334,4204984.666666667,208823.33333333334
Lao People's Democratic Republic,Asia,418.0,142.0,51.0,27.88752333333336,3.0709034333333336e-05,2611.5361633590833,7168836.666666667,1294476.3333333333
Madagascar,Africa,450.0,2.0,36.333333333333336,25.99893666666668,6.375918266666667e-05,506.1423306637733,26974212.666666668,189994.0
Malawi,Africa,454.0,2.0,39.53333333333333,29.024296666666675,9.718284333333332e-05,591.0867872612887,18633973.0,308335.3333333333
Malaysia,Asia,458.0,142.0,65.3,25.883576666666688,0.00012754465333333334,11075.084690262467,31947940.0,1844237.0
Mali,Africa,466.0,2.0,52.833333333333336,27.152306666666693,4.248447533333334e-05,878.7669941938099,19662204.0,1288517.3333333333
Mexico,Americas,484.0,19.0,66.13333333333333,26.128240000000023,1.6882019e-05,9322.23543989324,127566354.66666667,11333236.0
Morocco,Africa,504.0,2.0,61.1,19.713633333333348,4.401242566666667e-05,3173.558380906857,36470471.0,3204131.3333333335
Mozambique,Africa,508.0,2.0,38.733333333333334,26.916816666666705,7.906476666666666e-05,486.16794831972237,30372495.666666668,631517.3333333334
Oman,Asia,512.0,142.0,70.43333333333334,23.198176666666694,8.836263166666667e-06,17044.485367282,4970363.333333333,24638.333333333332
Nepal,Asia,524.0,142.0,55.0,23.89807333333336,3.957068533333333e-05,1176.2085541939,28613745.0,2533794.0
Netherlands,Europe,528.0,150.0,80.73333333333333,7.08755000000004,3.727062966666667e-05,52638.94596617017,17339332.666666668,949741.0
New Zealand,Oceania,554.0,9.0,77.73333333333333,12.305373333333364,4.1817493999999994e-05,42500.9176444635,4988066.666666667,792536.0
Nicaragua,Americas,558.0,19.0,54.699999999999996,28.928396666666686,7.668468300000001e-05,1948.84534477748,6545186.333333333,705638.3333333334
Niger,Africa,562.0,2.0,49.333333333333336,26.998500000000018,3.732395866666667e-05,564.1644011583527,23320062.0,394764.0
Nigeria,Africa,566.0,2.0,41.43333333333334,29.006670000000042,8.050656733333334e-05,2118.2432244633133,200992625.0,1597669.0
Norway,Europe,578.0,150.0,79.56666666666666,-2.8737199999999725,1.8217057666666667e-05,75105.74666792997,5346429.0,190229.0
Pakistan,Asia,586.0,142.0,57.13333333333333,18.941483333333355,1.3956432666666668e-05,1319.8763826479765,216561978.66666666,6222362.0
Panama,Americas,591.0,19.0,71.39999999999999,29.09656666666668,6.909716833333334e-05,14609.696436557,4246025.333333333,141658.0
Paraguay,Americas,600.0,19.0,59.0,25.632420000000025,1.0468678166666667e-05,5388.273544035356,7044412.666666667,886305.0
Peru,Americas,604.0,19.0,66.76666666666667,27.564543333333365,3.1911022e-05,6704.093386086497,32490524.333333332,1497747.3333333333
Philippines,Asia,608.0,142.0,59.6,27.98924333333336,4.0750994e-05,3345.4269012315035,108116367.0,5975092.0
Poland,Europe,616.0,150.0,75.5,8.131486666666698,4.0167507333333334e-05,15647.713025407567,37946431.666666664,4675484.0
Portugal,Europe,620.0,150.0,76.83333333333333,14.199390000000014,7.1486948e-05,23029.312642228702,10289055.333333334,2059466.0
Qatar,Asia,634.0,142.0,73.86666666666666,21.35435000000001,6.088098899999999e-06,59436.2543552167,2831604.3333333335,25278.333333333332
Romania,Europe,642.0,150.0,71.86666666666667,10.808173333333343,5.0803866e-05,12737.857047142401,19367712.666666668,3873817.0
Russian Federation,Europe,643.0,150.0,73.3,-4.016589999999989,2.4396102333333334e-05,10970.575440490167,144329400.0,10641357.0
Rwanda,Africa,646.0,2.0,42.56666666666667,27.88137000000002,6.816864233333333e-06,800.54732401505,12627038.666666666,494724.3333333333
Saudi Arabia,Asia,682.0,142.0,70.13333333333334,22.480903333333362,1.3811104e-05,22195.710574249864,34261717.666666664,295995.3333333333
Senegal,Africa,686.0,2.0,47.36666666666667,28.30570000000002,6.239734866666667e-05,1453.3494377633933,16298205.333333334,673913.0
Serbia,Europe,688.0,150.0,61.03333333333333,10.963506666666698,5.1520024e-05,7466.7657508796365,6942321.666666667,968547.3333333334
Sierra Leone,Africa,694.0,2.0,36.766666666666666,29.51499000000001,8.968456e-05,521.7076546585157,7813447.0,149848.0
Slovakia,Europe,703.0,150.0,68.39999999999999,8.850280000000017,4.460195966666667e-05,19320.0137970693,5453248.333333333,405197.3333333333
Viet Nam,Asia,704.0,142.0,62.63333333333333,27.910076666666708,3.644747733333333e-05,2689.14920933076,96448883.33333333,3295518.0
South Africa,Africa,710.0,2.0,59.666666666666664,20.507343333333363,4.496742366666667e-05,6428.5749771657565,58553159.0,889231.3333333334
Zimbabwe,Africa,716.0,2.0,40.63333333333333,26.398066666666693,6.571723333333334e-05,1261.9642473694632,14649070.666666666,1228064.0
Spain,Europe,724.0,150.0,74.63333333333333,13.319960000000018,5.9447406e-05,28991.8307372625,47098670.0,1445715.0
Sudan,Africa,729.0,2.0,38.199999999999996,26.544113333333353,3.314407266666666e-05,612.697814932166,42821346.0,2052430.0
Sweden,Europe,752.0,150.0,79.86666666666666,0.420376666666679,2.3579244333333333e-05,52934.299639156496,10269181.0,322546.0
Switzerland,Europe,756.0,150.0,80.33333333333333,8.523593333333357,4.6813401000000004e-05,86274.44641206147,8575390.0,699869.0
Syrian Arab Republic,Asia,760.0,142.0,41.73333333333333,17.96065666666671,3.5435269e-05,1312.3256784354667,17171950.333333332,8055339.333333333
Tajikistan,Asia,762.0,142.0,52.5,8.352573333333359,1.9462337e-05,867.6337456261407,9319837.333333334,586492.3333333334
Thailand,Asia,764.0,142.0,63.699999999999996,28.286850000000033,4.9755414333333336e-05,7433.58779032594,69618004.33333333,1053926.0
Togo,Africa,768.0,2.0,45.4,29.290423333333347,9.353593999999999e-05,903.2754211579413,8083397.0,535403.0
United Arab Emirates,Asia,784.0,142.0,70.53333333333333,21.680403333333345,5.675167233333333e-06,40941.774258374564,9763964.0,198236.0
Tunisia,Africa,788.0,2.0,61.4,17.09239000000004,4.7494905666666665e-05,3592.3795231367862,11692847.333333334,876689.3333333334
Turkey,Asia,792.0,142.0,62.9,15.691043333333369,4.4456313333333335e-05,9037.432309688704,83369588.0,3343833.0
Uganda,Africa,800.0,2.0,42.56666666666667,27.58725666666669,1.2591813666666665e-05,797.0714000029724,44246539.666666664,782397.3333333334
Ukraine,Europe,804.0,150.0,56.1,10.522010000000023,4.531457333333334e-05,3494.3187792730237,44381138.0,6070825.0
Egypt,Africa,818.0,2.0,59.36666666666667,22.305920000000032,2.7488702000000002e-05,3041.8081032415535,100382027.0,3518582.3333333335
United Kingdom of Great Britain and Northern Ireland,Europe,826.0,150.0,80.16666666666667,5.576796666666685,3.190764566666667e-05,42592.20637993093,66837321.333333336,4661881.0
"Tanzania, United Republic of",Africa,834.0,2.0,45.36666666666667,28.76597666666669,4.645123866666667e-05,1068.3977741655265,58017706.0,321110.3333333333
United States of America,Americas,840.0,19.0,79.60000000000001,5.808616666666694,1.7763930666666666e-05,63850.15617085417,328889744.0,2940530.3333333335
Burkina Faso,Africa,854.0,2.0,48.13333333333333,28.664786666666675,5.9829309666666664e-05,819.516158099805,20325375.666666668,1583191.0
Uruguay,Americas,858.0,19.0,72.93333333333334,17.345603333333354,1.2801072333333335e-05,17276.762321955634,3461582.6666666665,364293.0
Uzbekistan,Asia,860.0,142.0,54.53333333333333,9.414950000000033,2.061919633333333e-05,1710.5917553019199,33589500.0,2017463.0
Venezuela (Bolivarian Republic of),Americas,862.0,19.0,42.666666666666664,28.700566666666685,8.180530466666667e-05,16055.6453173826,28612963.0,4474097.333333333
Yemen,Asia,887.0,142.0,35.03333333333334,25.744760000000024,2.6514946e-05,758.145241569423,29162191.0,1259980.3333333333
