,name,region,country-code,region-code,gfsi,surfacetempanomaly,precipitationflux,gdp,population,migration,tempstep,gfsi_hat
19,Chad,Africa,148.0,2.0,41.9,26.861520000000024,4.624434933333334e-05,698.3203650803267,15950156.0,216096.0,-0.5,51.46079742951974
20,Chile,Americas,152.0,19.0,72.93333333333334,12.753096666666693,2.4460779333333334e-05,14620.520988776232,18932470.0,638643.0,-0.5,64.0874896485374
21,China,Asia,156.0,142.0,72.63333333333334,16.321253333333345,4.8532011666666665e-05,10161.318454456175,1407144787.3333333,10417099.0,-0.5,68.1997531955877
22,Colombia,Americas,170.0,19.0,65.13333333333334,28.89356666666669,7.667062833333333e-05,6163.03962224305,50294461.0,2959156.0,-0.5,53.217870395213126
23,"Congo, Democratic Republic of the",Africa,180.0,2.0,36.3,28.318496666666665,4.6175752e-05,561.8248737999427,86806688.0,1780099.3333333333,-0.5,51.49177971653067
24,Costa Rica,Americas,188.0,19.0,71.56666666666666,28.759090000000032,7.107068800000001e-05,12440.035335593531,5047039.333333333,147840.0,-0.5,54.49945063013483
25,Czechia,Europe,203.0,150.0,78.60000000000001,7.7248200000000224,4.3717207e-05,23337.7946704685,10666552.0,984841.3333333334,-0.5,69.66945104082863
26,Benin,Africa,204.0,2.0,45.63333333333333,28.652840000000023,8.756672999999999e-05,1250.79392537768,11803128.0,672446.0,-0.5,50.386384128746684
27,Denmark,Europe,208.0,150.0,77.5,5.780383333333361,3.291564933333333e-05,60810.3267989237,5813154.0,252986.0,-0.5,84.42893932320594
28,Dominican Republic,Americas,214.0,19.0,65.86666666666666,25.968783333333345,4.9920237000000005e-05,7866.986038800824,10738002.666666666,1577774.0,-0.5,55.018436383670775
29,Ecuador,Americas,218.0,19.0,59.96666666666667,27.55849333333335,7.117464166666667e-05,6039.61630995527,17367025.333333332,1128467.3333333333,-0.5,53.117791936937785
30,El Salvador,Americas,222.0,19.0,58.5,28.382413333333336,6.237615433333333e-05,4006.3307449820873,6453497.0,1581825.0,-0.5,52.208788531732814
31,Ethiopia,Africa,231.0,2.0,39.833333333333336,27.473940000000027,8.1371182e-05,854.5420708670276,112088906.66666669,925402.0,-0.5,51.30259784941899
32,Finland,Europe,246.0,150.0,84.53333333333335,-3.260569999999973,2.6283095e-05,49124.30253819336,5522224.666666667,305955.3333333333,-0.5,84.6662349036458
33,France,Europe,250.0,150.0,78.83333333333333,8.047480000000027,4.541251933333333e-05,40402.8542707976,67243588.0,2297379.333333333,-0.5,76.5011509925155
34,Germany,Europe,276.0,150.0,79.56666666666666,7.100290000000011,4.038755233333333e-05,47007.06540651974,83053205.0,3810270.0,-0.5,80.11223858540971
35,Ghana,Africa,288.0,2.0,53.06666666666666,28.940896666666674,9.898745333333332e-05,2237.6717204386964,30419303.666666668,981909.3333333334,-0.5,50.630872461899614
36,Greece,Europe,300.0,150.0,74.73333333333333,14.702930000000018,5.2892394333333335e-05,18845.9936360516,10718340.0,1034829.0,-0.5,64.43857328782025
37,Guatemala,Americas,320.0,19.0,56.16666666666666,28.129433333333377,3.984011833333333e-05,4573.466401804767,16603103.0,1318367.3333333333,-0.5,52.77755530702792
